09/2018,3.73348110198252e+18
06/2017,5.6787722309363925e+19
12/2015,2.6764096183940473e+19
06/2018,2.808523416305675e+18
08/2015,4.8052118459597475e+20
08/2018,2.39895079811274e+18
01/2017,5.620285956535014e+19
09/2017,3.437211515083116e+19
10/2017,2.6761515215631016e+19
08/2017,4.827395651885163e+19
07/2016,9.577823510582162e+19
12/2016,6.146658677538121e+19
09/2015,7.046467945767368e+19
10/2018,3.07040214302597e+18
01/2018,1.1164572720750387e+19
03/2017,1.770215809422216e+20
12/2018,5.944894163484835e+18
04/2016,2.267063204705358e+19
11/2018,5.397909048901785e+18
06/2016,3.0490334850064945e+19
01/2016,6.106607047719554e+19
03/2016,4.585306412778079e+19
03/2018,2.7280798911623895e+18
07/2017,6.4981463792719405e+19
02/2018,6.230362795090959e+18
02/2017,5.5580090162629894e+19
02/2016,6.554760875990387e+19
10/2016,3.2444426339709256e+19
07/2018,2.2749347554396408e+18
10/2015,7.416931809333908e+19
11/2015,5.948474386249679e+19
12/2017,1.3731223538323202e+19
11/2016,3.964431643835121e+19
09/2016,3.262761224755769e+19
11/2017,2.9641103274740072e+19
05/2017,1.2484777365193179e+20
04/2017,1.1135007462190758e+20
01/2019,4.254789673450596e+18
05/2016,4.70466095244677e+19
08/2016,5.908198737290139e+19
04/2018,2.4492682348521134e+18
05/2018,2.4981909136531743e+18
